zinc_id,new_smile,tanimoto_sim,cluster,BBBP,ligand_id,HeavyAtomCount,LinF9_score,LinF9_LE,LinF9
1437973,Cc1c(C=O)c2ccccc2n1Cc1cccc2ccccc12,0.32799999999999996,20,Permeable,4638,23,-7.19,-0.3126086956521739,5.274
1215680,O=Cc1cn(Cc2cccc3ccccc23)c2ccccc12,0.313,20,Permeable,4641,22,-7.025,-0.31931818181818183,5.153
1857526011,c1ccc2[nH]c(-c3ccc4[nH]c5ccccc5c4c3)nc2c1,0.326,23,Permeable,4642,22,-6.961,-0.3164090909090909,5.106
1006424,Cc1cccc(OC(=O)Cc2cccc3ccccc23)c1C,0.331,20,Permeable,4648,22,-6.696,-0.30436363636363634,4.911
5927653,S=c1[nH]c2ccccc2n1Cc1cccc2ccccc12,0.321,20,Permeable,4651,21,-6.981,-0.3324285714285714,5.12
1006382,Cc1cc(C)cc(NC(=O)Cc2cccc3ccccc23)c1,0.33299999999999996,20,Permeable,4654,22,-7.274,-0.3306363636363636,5.335
1017026,CCc1ccc(NC(=O)Cc2cccc3ccccc23)cc1,0.313,20,Permeable,4656,22,-6.977,-0.31713636363636366,5.118
191822,Cc1cc(C)nc(SCc2cccc3ccccc23)n1,0.3720000000000001,20,Permeable,4659,20,-6.655,-0.33275,4.881
409498,O=C(Nc1cccc(Cl)c1)c1ccc(-c2ccccc2)o1,0.314,1,Permeable,4660,21,-6.727,-0.32033333333333336,4.934
407968,O=C(Nc1cccc(Cl)c1)c1cccc2ccccc12,0.308,1,Permeable,4663,20,-6.748,-0.33740000000000003,4.95
1006380,Cc1ccc(NC(=O)Cc2cccc3ccccc23)cc1C,0.33299999999999996,20,Permeable,4669,22,-7.337,-0.33349999999999996,5.382
72453,O=C(Cc1cccc2ccccc12)Nc1ccc(Cl)cc1,0.31,20,Permeable,4673,21,-6.812,-0.3243809523809524,4.997
293358,O=C(Nc1cccc(Cl)c1)Nc1cccc2cccnc12,0.331,1,Permeable,4674,21,-6.894,-0.3282857142857143,5.057
1473042,CCc1nc2ccccc2n1Cc1cccc2ccccc12,0.33299999999999996,20,Permeable,4676,22,-6.774,-0.3079090909090909,4.969
1006282,Cc1cccc(NC(=O)Cc2cccc3ccccc23)c1C,0.331,20,Permeable,4678,22,-7.025,-0.31931818181818183,5.153
1006407,Cc1cccc(C)c1NC(=O)Cc1cccc2ccccc12,0.33299999999999996,20,Permeable,4681,22,-6.961,-0.3164090909090909,5.106
442803,Cc1c(-c2cccc(Cl)c2)nc2ccccc2c1C(=O)O,0.36,9,Permeable,4683,21,-6.725,-0.3202380952380952,4.933
184095,Cc1nc2ccccc2n1Cc1cccc2ccccc12,0.341,20,Permeable,4685,21,-6.861,-0.3267142857142857,5.032
1006383,Cc1ccc(C)c(NC(=O)Cc2cccc3ccccc23)c1,0.331,20,Permeable,4687,22,-7.04,-0.32,5.164
4741267,O=C(Nc1cccc(Cl)c1)Nc1cnc2ccccc2c1,0.308,1,Permeable,4692,21,-7.139,-0.33995238095238095,5.236
11848535,Cc1cc(Nc2cccc(Cl)c2)c2cc(O)ccc2n1,0.348,1,Permeable,4696,20,-6.667,-0.33335,4.89
1473118,CCn1c(Cc2cccc3ccccc23)nc2ccccc21,0.375,20,Permeable,4699,22,-6.868,-0.31218181818181817,5.038
1006408,CCc1ccccc1NC(=O)Cc1cccc2ccccc12,0.308,20,Permeable,4702,22,-7.016,-0.3189090909090909,5.146
486639,O=C(Cc1cccc2ccccc12)Nc1cccc(Cl)c1,0.308,20,Permeable,4703,21,-6.916,-0.32933333333333337,5.073
725237122,Cn1cc(C(=O)Cc2cccc3ccccc23)c2ccccc21,0.316,20,Permeable,4704,23,-7.102,-0.30878260869565216,5.209
122926,Cc1ccc2ncnc(Nc3cccc4ccccc34)c2c1,0.311,20,Permeable,4708,22,-7.249,-0.32949999999999996,5.317
373701,Cc1cccc2c(C(=O)O)cc(-c3cccc(Cl)c3)nc12,0.322,1,Permeable,4709,21,-6.757,-0.32176190476190475,4.956
1114585,Cc1ccc(OC(=O)Cc2cccc3ccccc23)c(C)c1,0.33299999999999996,20,Permeable,4715,22,-6.815,-0.3097727272727273,4.999
58168105,Cc1ccccc1C[S@@](=O)Cc1cccc2ccccc12,0.318,20,Permeable,4723,21,-6.685,-0.3183333333333333,4.903
1719422,Cc1[nH]c2ccccc2c1CCc1c[nH]c2ccccc12,0.32799999999999996,23,Permeable,4724,21,-6.944,-0.33066666666666666,5.093
6393509,c1ccc2c(Cn3ccc4ccccc43)cccc2c1,0.315,20,Permeable,4730,20,-6.773,-0.33865,4.968
1696477,Cc1[nH]c2ccccc2c1Cc1c(C)[nH]c2ccccc12,0.375,23,Permeable,4731,21,-7.073,-0.33680952380952384,5.188
38922395,Nc1cccc(-c2nc3cc(-c4ccccc4)ccc3o2)c1,0.309,1,Permeable,4733,22,-7.033,-0.3196818181818182,5.159
216725848,Cc1cc(C=O)cc(C)c1OCc1cccc2ccccc12,0.34600000000000003,20,Permeable,4735,22,-6.834,-0.3106363636363636,5.013
21520496,C[C@H](NCc1cccc2ccccc12)c1cccc(F)c1,0.318,20,Permeable,4737,21,-6.68,-0.3180952380952381,4.9
73642685,CCc1cc(N)cc2nc(-c3cccc4ccccc34)oc12,0.308,20,Permeable,4738,22,-6.755,-0.30704545454545457,4.955
216725790,Cc1cc(CO)cc(C)c1OCc1cccc2ccccc12,0.34600000000000003,20,Permeable,4745,22,-6.773,-0.30786363636363634,4.968
14217195,c1ccc2c(c1)CCCN2Cc1cccc2ccccc12,0.306,20,Permeable,4747,21,-7.066,-0.3364761904761905,5.183
4982211,Cc1cc([N+](=O)[O-])ccc1NCc1cccc2ccccc12,0.326,20,Permeable,4759,22,-6.795,-0.30886363636363634,4.984
3871197,O=Cc1c2[nH]c3ccccc3c2cc2[nH]c3ccccc3c12,0.4370000000000001,23,Permeable,4761,22,-6.743,-0.3065,4.946
77029,O=C1C=C(Nc2cccc(Cl)c2)C[C@H](c2ccccc2)C1,0.325,1,Permeable,4769,21,-6.697,-0.3189047619047619,4.912
