zinc_id,new_smile,tanimoto_sim,cluster,BBBP,ligand_id,HeavyAtomCount,LinF9_score,LinF9_LE,LinF9
19799531,C[C@@H]1Cc2c(=O)c3ccccc3n3c(=O)c4ccccc4n1c23,0.309,4,Permeable,5302,23,-9.045,-0.3932608695652174,6.634
19799532,C[C@H]1Cc2c(=O)c3ccccc3n3c(=O)c4ccccc4n1c23,0.309,4,Permeable,5303,23,-9.094,-0.39539130434782604,6.67
18100042,CCn1c(/C=C2\C(=O)Nc3ccccc32)nc2ccccc2c1=O,0.40399999999999997,24,Permeable,5308,24,-9.071,-0.37795833333333334,6.653
13434330,C[n+]1c2n(c(=O)c3ccccc31)CCc1c-2[nH]c2ccccc12,0.305,23,Permeable,5309,23,-8.816,-0.38330434782608697,6.466
4170838,Cc1ccc2c(c1)/C(=C/c1nc3ccccc3c(=O)n1C)C(=O)N2,0.33299999999999996,24,Permeable,5313,24,-9.706,-0.40441666666666665,7.119
32617991,CCn1c(/C=C2/C(=O)Nc3ccccc32)nc2ccccc2c1=O,0.40399999999999997,24,Permeable,5314,24,-9.412,-0.3921666666666667,6.904
409399834,Cc1[nH]c2ccccc2c1/C=C1/C(=O)NN(c2ccccc2)C1=O,0.314,23,Permeable,5318,24,-9.304,-0.38766666666666666,6.824
4950965,CCn1c(/C=C/c2ccc(O)c(O)c2)nc2ccccc2c1=O,0.358,7,Permeable,5319,23,-8.976,-0.39026086956521744,6.584
3187699,O=C1N/C(=N\c2ccccc2)S/C1=C1\C(=O)Nc2ccccc21,0.33299999999999996,17,Permeable,5322,23,-9.126,-0.39678260869565213,6.694
100004416,Cc1cccc(NC(=S)N/N=C2/C(=O)Nc3ccccc32)c1,0.306,24,Permeable,5326,22,-8.719,-0.3963181818181818,6.395
225838347,COCCn1nc(OCc2cccc3ccccc23)c(C#N)c1N,0.34600000000000003,20,Permeable,5340,24,-8.887,-0.3702916666666667,6.519
31720321,O=C(/C=C1\C(=O)Nc2ccccc21)/C=C1/C(=O)Nc2ccccc21,0.35100000000000003,24,Permeable,5341,24,-9.696,-0.40399999999999997,7.112
