zinc_id,new_smile,tanimoto_sim,cluster,BBBP,ligand_id
18173462,N/N=C1\C(=O)Nc2ccccc21,0.354,24,Permeable,80
17014699,O=C1Nc2ccccc2C(=O)/C1=N/O,0.345,24,Permeable,81
18149198,O=C1Nc2ccccc2/C1=N/O,0.354,24,Permeable,82
11851253,N#Cc1cnn(-c2ccccn2)c1N,0.392,10,Permeable,83
6760875,CN/N=C1\C(=O)Nc2ccccc21,0.354,24,Permeable,84
104201360,C[N+]([O-])=C1C(=O)Nc2ccccc21,0.362,24,Permeable,85
38339243,Cc1n[nH]c2ccc(O)cc12,0.337,11,Permeable,86
2486706,Cc1ccn2c(=O)cc(C)nc2c1,0.338,5,Permeable,87
48343931,C[C@H](Sc1ccccn1)C(N)=O,0.306,10,Permeable,88
12339965,CN(C)/C=C1\C(=O)Nc2ccccc21,0.487,24,Permeable,89
394961,O=C(c1ccccc1O)N1CCCC1,0.3,13,Permeable,90
48218356,Cc1ccnn1-c1ccccn1,0.366,10,Permeable,91
20342972,CCC(=O)Nc1ccc(OC)c(N)c1,0.314,13,Permeable,92
19093178,CCC(=O)Nc1ccc(F)c(N)c1,0.325,13,Permeable,93
146666,CCC(=O)Nc1cccc(O)c1,0.333,13,Permeable,94
85210388,COC(=O)c1ccc2[nH]nc(C)c2c1,0.319,11,Permeable,95
5428045,CCC(=O)Nc1ccc(C(=O)O)cc1,0.318,13,Permeable,96
48343932,C[C@@H](Sc1ccccn1)C(N)=O,0.306,10,Permeable,97
40108,Cc1cc(C)n(-c2ccccn2)n1,0.394,10,Permeable,98
34165023,CC1(C)C(=O)Nc2ccccc2C1=O,0.333,24,Permeable,99
15880094,CSc1ccccn1,0.306,10,Permeable,100
330084,c1ccc2c(-n3cnnn3)cccc2c1,0.307,20,Permeable,101
38193107,CCc1nc(C)cc(CN(C)C)c1O,0.34700000000000003,5,Permeable,102
331251,Nc1cc(-c2ccccc2)ncn1,0.309,15,Permeable,103
493225,CCC(=O)Nc1ccc(C(N)=O)cc1,0.302,13,Permeable,104
13410729,O=c1[nH]cncc1-c1ccccc1,0.309,15,Permeable,105
9261680,Cc1ccc(C=O)n1-c1ccccn1,0.3,10,Permeable,106
12408469,CN(O)/C=C1\C(=O)Nc2ccccc21,0.468,24,Permeable,107
78210651,Cn1cc(N)c(-c2ccccn2)n1,0.303,10,Permeable,108
12928542,Cc1ccc(O)c(C(=O)N2CCC2)c1,0.31,13,Permeable,109
362195,CCC(=O)Nc1ccc2c(c1)OCO2,0.308,13,Permeable,110
202251771,CC1=N[C@H](C)C(=O)Nc2ccccc21,0.341,24,Permeable,111
394086,CC(=O)Nc1ccc(C(=O)O)c(O)c1,0.37,13,Permeable,112
2575157,Cn1ccc(-c2cccc(N)c2)n1,0.32299999999999995,1,Permeable,113
404200,CCC(=O)Nc1cccc(N)c1,0.301,13,Permeable,114
12370783,OCc1cnc(-c2ccccc2)nc1,0.316,15,Permeable,115
39113062,Nc1cccc(-c2ccon2)c1,0.33,1,Permeable,116
1888,CCC(=O)Nc1ccc(O)cc1,0.305,13,Permeable,117
8703515,CCC(=O)Nc1ccc(C)c(N)c1,0.325,13,Permeable,118
202251796,CC1=N[C@@H](C)C(=O)Nc2ccccc21,0.341,24,Permeable,119
32696048,O=C(O)/C=C1/C(=O)Nc2ccccc21,0.449,24,Permeable,120
41203750,Nc1cccc(-c2cc[nH]c(=O)n2)c1,0.362,1,Permeable,121
343318,Nc1ncncc1-c1ccccc1,0.32299999999999995,15,Permeable,122
30952670,Cc1n[nH]c2ccc(N)cc12,0.353,11,Permeable,123
39257474,O=c1[nH]c2sccc2n2cccc12,0.327,14,Permeable,124
524728990,Clc1ncn(-c2ccccn2)n1,0.311,10,Permeable,125
157819,CC(=O)Nc1ccc(C(C)=O)c(O)c1,0.37,13,Permeable,126
14982157,Nc1cc(C(=O)O)nc2ccccc12,0.312,9,Permeable,127
6505274,c1nc(N2CCCC2)c2cc[nH]c2n1,0.306,3,Permeable,128
110639,O=c1[nH]c2ccccc2n2cccc12,0.411,14,Permeable,129
1433164,N=C(N)NCc1cccc2ccccc12,0.35200000000000004,20,Permeable,130
2543436,CC1(C)NC(=O)c2ccccc2N1,0.31,24,Permeable,131
388180,NC(=O)Cc1cccc2ccccc12,0.365,20,Permeable,132
22150708,NNCc1cccc2ccccc12,0.373,20,Permeable,133
12904541,Cc1ccc(C(=O)N2CCC2)c(O)c1,0.395,13,Permeable,134
685949967,NCc1cc(-c2cccc(N)c2)n[nH]1,0.309,1,Permeable,135
11567918,Nc1cccc(-c2ccc(=O)[nH]n2)c1,0.337,1,Permeable,136
3227012,O=C(O)/C=C1\C(=O)Nc2ccccc21,0.449,24,Permeable,137
4692468,O=C1CC(=O)c2ccccc2N1,0.317,24,Permeable,138
8764167,Nc1cccc(-c2cocn2)c1,0.33,1,Permeable,139
151224,Cc1cc(N)n(-c2ccccn2)n1,0.435,10,Permeable,140
65337624,Nc1cccc(-c2cccc(=O)[nH]2)c1,0.306,1,Permeable,141
82952215,Cn1cc(-c2cccc(N)c2)nn1,0.309,1,Permeable,142
8584773,O=C(O)c1cc(O)c2ccccc2n1,0.312,9,Permeable,143
100139155,Cc1cc(O)n(-c2ccccn2)n1,0.394,10,Permeable,144
89223806,c1nc(C2CC2)c2cc[nH]c2n1,0.307,3,Permeable,145
331980,NNc1cc(-c2ccccc2)ncn1,0.309,15,Permeable,146
1626610,O=C1CCC(=O)c2ccccc2N1,0.302,24,Permeable,147
51943521,Cc1n[nH]c2ccc(C(=O)O)cc12,0.319,11,Permeable,148
37975001,CCC(=O)Nc1cccc(CO)c1,0.302,13,Permeable,149
76532,Cc1cc(C)c(C=O)[nH]1,0.304,24,Permeable,150
40057,Nc1ncc(-c2ccccc2)c(N)n1,0.302,15,Permeable,151
4342661,Nc1cccc(-c2csnn2)c1,0.315,1,Permeable,152
8703479,CCC(=O)Nc1ccc(N)c(C)c1,0.325,13,Permeable,153
8780032,C1=C(c2c[nH]c3ncccc23)CCNC1,0.333,18,Permeable,154
36680,CCC(=O)Nc1cccc(C(N)=O)c1,0.326,13,Permeable,155
400269,Nc1nccc(-c2ccccc2)n1,0.302,1,Permeable,156
13819699,NCCOc1cncc(Cl)c1,0.329,11,Permeable,157
19090297,Cn1nc(-c2ccccn2)cc1N,0.303,10,Permeable,158
98214194,Cc1cnn(-c2ccccn2)c1N,0.435,10,Permeable,159
39136880,Cc1n[nH]c2ccc(C=O)cc12,0.326,11,Permeable,160
72190459,O=Cc1ccnn1-c1ccccn1,0.342,10,Permeable,161
3984067,CC1=NCC(=O)Nc2ccccc21,0.333,24,Permeable,162
8844854,CSC(=O)c1ccccn1,0.313,10,Permeable,163
7260694,CCC(=O)Nc1cccc(C(=O)O)c1,0.341,13,Permeable,164
140040,CN(C)/C=C1/C(=O)Nc2ccccc21,0.487,24,Permeable,165
26512231,CCc1cc(N)n(-c2ccccn2)n1,0.411,10,Permeable,166
36155393,Cc1nc(-c2cccc(N)c2)c[nH]1,0.32299999999999995,1,Permeable,167
225756585,OCc1cnncc1-c1ccccc1,0.32299999999999995,15,Permeable,168
1585504,CN1CC[C@H](c2ccccc2)[C@H](O)C1,0.324,16,Permeable,169
34111550,Nc1cccc(-c2ccnnc2)c1,0.302,1,Permeable,170
3851832,Cc1cc(CO)nn1-c1ccccn1,0.373,10,Permeable,171
82217412,Cc1n[nH]c2ccc(CN)cc12,0.3720000000000001,11,Permeable,172
4429084,N=C1C(=O)Nc2ccccc21,0.373,24,Permeable,173
5551292,CN1CC[C@@H](c2ccccc2)[C@H](O)C1,0.324,16,Permeable,174
20663860,O=c1[nH]c2ncccc2n2cccc12,0.327,14,Permeable,175
16194331,COC1=COC(=O)c2ccccc2N1,0.322,24,Permeable,176
20417478,Nc1cccc(-c2ccncn2)c1,0.389,1,Permeable,177
34111546,Nc1cccc(-c2cccnn2)c1,0.374,1,Permeable,178
87418605,Nc1c(Cl)cnn1-c1ccccn1,0.414,10,Permeable,179
901509,C=C1C(=O)Nc2ccccc21,0.373,24,Permeable,180
1857622595,CN(C)C=C1C(=O)Nc2ccccc21,0.487,24,Permeable,181
25491327,NNc1nccc(-c2ccccc2)n1,0.344,1,Permeable,182
5542407,O=C1Cc2cn[nH]c2-c2ccccc2N1,0.312,24,Permeable,183
36894292,Cc1nn(-c2ccccn2)cc1C=O,0.338,10,Permeable,184
8466928,Nc1ncc(-c2ccccc2)c(=O)[nH]1,0.302,15,Permeable,185
5798728,CC1=NN(c2ccccn2)C(=O)C1,0.338,10,Permeable,186
72219979,O=Cc1ccn(-c2ccccn2)n1,0.312,10,Permeable,187
21506114,OC1CCC(Nc2ncccn2)CC1,0.373,18,Permeable,188
20383896,NCc1cc(-c2ccccc2)ncn1,0.309,15,Permeable,189
8684248,O=[N+]([O-])c1ccc(-c2cc[nH]n2)o1,0.378,12,Permeable,190
37625902,Cc1n[nH]c2ccc([N+](=O)[O-])cc12,0.319,11,Permeable,191
4675124,COc1cccc(CN(C)C)c1O,0.32,5,Permeable,192
896083,C=Cc1ccc(O)c(O)c1,0.343,7,Permeable,193
5668659,O=C1Nc2ccccc2C1=S,0.373,24,Permeable,194
2540324,Cc1cc(F)cc(CN(C)C)c1O,0.307,5,Permeable,195
223748583,Cc1ccc(CN)n1-c1ccccn1,0.3,10,Permeable,196
72187494,C#Cc1ccc2[nH]nc(C)c2c1,0.326,11,Permeable,197
39133854,Cc1n[nH]c2ccc(C#N)cc12,0.326,11,Permeable,198
5614,CC(=O)/C=C/c1ccc(O)c(O)c1,0.387,7,Permeable,199
4579304,O=C1/C(=N/O)Nc2ccccc21,0.325,24,Permeable,200
8715043,Cc1nn(-c2ccccn2)c(N)c1C#N,0.479,10,Permeable,201
1395709,N#Cc1cccc(-c2ccnc(N)n2)c1,0.32,1,Permeable,202
17111942,N#Cc1c(O)ncnc1-c1ccccc1,0.303,15,Permeable,203
12341248,CN(C)/C=C1/Nc2ccccc2C1=O,0.349,24,Permeable,204
12410537,CC(=O)/C=C1\C(=O)Nc2ccccc21,0.468,24,Permeable,205
14982557,N#Cc1cc(C(=O)O)c2ccccc2n1,0.303,9,Permeable,206
31343462,CC(=O)/C=C1/C(=O)Nc2ccccc21,0.468,24,Permeable,207
66324820,N#CNc1nccc(-c2ccccc2)n1,0.317,1,Permeable,208
62063,Cc1cc(C(=O)O)c2ccccc2n1,0.312,9,Permeable,209
119431,Nc1ccc(O)c2ccccc12,0.313,22,Permeable,210
238368218,COc1cc(N)c2ccccc2c1O,0.307,22,Permeable,211
39647580,CC(C)=C1C(=O)Nc2ccccc21,0.38,24,Permeable,212
5916324,CCC(=O)Nc1ccc(F)c(F)c1,0.325,13,Permeable,213
513651,CCC(=O)Nc1cccc(F)c1,0.301,13,Permeable,214
33026337,CNC(=O)Cc1cccc2ccccc12,0.35200000000000004,20,Permeable,215
68592361,Cc1ccnc(-c2cccc(N)c2)n1,0.333,1,Permeable,216
4234690,Nc1cc(-c2cccc(Cl)c2)n[nH]1,0.309,1,Permeable,217
5332418,Nc1cccc(-c2ccccn2)c1,0.389,1,Permeable,218
95428548,CCC(=O)Nc1ccc(O)c(C)c1,0.375,13,Permeable,219
4692749,Cc1n[nH]cc1-c1ccccc1,0.311,15,Permeable,220
483018,CCC(=O)Nc1cccc(C(C)=O)c1,0.326,13,Permeable,221
67338872,NC(=O)CCc1cccc2ccccc12,0.35200000000000004,20,Permeable,222
59668520,ONCc1cccc2ccccc12,0.359,20,Permeable,223
194641,Cc1cc(C(=O)O)nc2ccccc12,0.312,9,Permeable,224
116393803,CCc1nc(N)ncc1-c1ccccc1,0.303,15,Permeable,225
4271684,Nc1cccc(-c2cccnc2)c1,0.316,1,Permeable,226
3880909,Nc1cccc(-c2ccncc2)c1,0.316,1,Permeable,227
493224,CCC(=O)Nc1ccc(C(C)=O)cc1,0.302,13,Permeable,228
44713447,Cc1n[nH]c2ccc(F)cc12,0.337,11,Permeable,229
19089100,Nc1cccc(-c2cscn2)c1,0.33,1,Permeable,230
91351666,OCc1cncc(-c2ccsc2)c1,0.326,19,Permeable,231
374853,CCC(=O)Nc1cccc(C)c1,0.301,13,Permeable,232
195095,Cc1nn(-c2ccccn2)c2c1CCC2,0.354,10,Permeable,233
1680841,OCc1cccc2ccccc12,0.374,20,Permeable,234
967226,OCCc1cccc2ccccc12,0.359,20,Permeable,235
34440119,OCc1cocc1-c1ccccc1,0.309,15,Permeable,236
4549313,CCC(=O)Nc1ccc(Cl)c(N)c1,0.325,13,Permeable,237
2037633,NCCc1cccc2ccccc12,0.373,20,Permeable,238
391809,O=C(O)Cc1cccc2ccccc12,0.35200000000000004,20,Permeable,239
72194599,Cc1cc(Cl)nc(NC2CC2)n1,0.3,18,Permeable,240
74938264,Nc1ccnc(-c2cccc(C=O)c2)c1,0.307,1,Permeable,241
104479670,c1cncc(-c2ncnc3[nH]ccc23)c1,0.394,3,Permeable,242
238668267,Nc1nc(O)ccc1-c1ccccc1,0.302,15,Permeable,243
331360,Cc1ncc(-c2ccccc2)c(N)n1,0.302,15,Permeable,244
4257702,Nc1c2c(nc3ccccc13)CCC2,0.32299999999999995,9,Permeable,245
2785586,Cc1cccc(-c2ccnc(N)n2)c1,0.333,1,Permeable,246
1673028,Nc1cccc2ccccc12,0.32,20,Permeable,247
96326,Cc1nccc(-c2cccc(N)c2)n1,0.455,1,Permeable,248
