zinc_id,new_smile,tanimoto_sim,cluster
4532198,[N-]=[N+]=C1C(=O)Nc2ccccc21,0.354,24
18173462,N/N=C1\C(=O)Nc2ccccc21,0.354,24
17014699,O=C1Nc2ccccc2C(=O)/C1=N/O,0.345,24
100028449,O/N=C/c1ccc(O)c(O)c1,0.342,7
18149198,O=C1Nc2ccccc2/C1=N/O,0.354,24
11851253,N#Cc1cnn(-c2ccccn2)c1N,0.392,10
6760875,CN/N=C1\C(=O)Nc2ccccc21,0.354,24
252370077,ON=Cc1ccc(O)c(O)c1,0.342,7
5723016,O/N=C\c1ccc(O)c(O)c1,0.342,7
98175581,N/N=C\c1ccc(O)c(O)c1,0.324,7
104201360,C[N+]([O-])=C1C(=O)Nc2ccccc21,0.36200000000000004,24
38339243,Cc1n[nH]c2ccc(O)cc12,0.337,11
2486706,Cc1ccn2c(=O)cc(C)nc2c1,0.33799999999999997,5
48343931,C[C@H](Sc1ccccn1)C(N)=O,0.306,10
12370560,Nc1cccc(-c2ncccn2)c1,0.316,1
12339965,CN(C)/C=C1\C(=O)Nc2ccccc21,0.48700000000000004,24
394961,O=C(c1ccccc1O)N1CCCC1,0.3,13
48218356,Cc1ccnn1-c1ccccn1,0.366,10
20342972,CCC(=O)Nc1ccc(OC)c(N)c1,0.314,13
19093178,CCC(=O)Nc1ccc(F)c(N)c1,0.325,13
146666,CCC(=O)Nc1cccc(O)c1,0.33299999999999996,13
85210388,COC(=O)c1ccc2[nH]nc(C)c2c1,0.319,11
5428045,CCC(=O)Nc1ccc(C(=O)O)cc1,0.318,13
32161664,Cc1cc(=O)n2cccc(C)c2n1,0.41100000000000003,5
48343932,C[C@@H](Sc1ccccn1)C(N)=O,0.306,10
40108,Cc1cc(C)n(-c2ccccn2)n1,0.39399999999999996,10
17300775,Nc1cccc(-c2csc(N)n2)c1,0.32299999999999995,1
34165023,CC1(C)C(=O)Nc2ccccc2C1=O,0.33299999999999996,24
9777164,O=C(O)c1nc(O)nc2ccccc12,0.312,9
15880094,CSc1ccccn1,0.306,10
330084,c1ccc2c(-n3cnnn3)cccc2c1,0.307,20
38193107,CCc1nc(C)cc(CN(C)C)c1O,0.34700000000000003,5
331251,Nc1cc(-c2ccccc2)ncn1,0.309,15
493225,CCC(=O)Nc1ccc(C(N)=O)cc1,0.302,13
13410729,O=c1[nH]cncc1-c1ccccc1,0.309,15
9261680,Cc1ccc(C=O)n1-c1ccccn1,0.3,10
12408469,CN(O)/C=C1\C(=O)Nc2ccccc21,0.46799999999999997,24
78210651,Cn1cc(N)c(-c2ccccn2)n1,0.303,10
12928542,Cc1ccc(O)c(C(=O)N2CCC2)c1,0.31,13
362195,CCC(=O)Nc1ccc2c(c1)OCO2,0.308,13
202251771,CC1=N[C@H](C)C(=O)Nc2ccccc21,0.341,24
394086,CC(=O)Nc1ccc(C(=O)O)c(O)c1,0.37,13
2575157,Cn1ccc(-c2cccc(N)c2)n1,0.32299999999999995,1
4552464,Oc1n[nH]cc1-c1ccccc1,0.326,15
404200,CCC(=O)Nc1cccc(N)c1,0.301,13
116061652,Nc1cccc(-c2c[nH]c(=O)cn2)c1,0.32299999999999995,1
12370783,OCc1cnc(-c2ccccc2)nc1,0.316,15
39113062,Nc1cccc(-c2ccon2)c1,0.33,1
1888,CCC(=O)Nc1ccc(O)cc1,0.305,13
8579968,O=C(O)c1cc(O)nc2ccccc12,0.312,9
8703515,CCC(=O)Nc1ccc(C)c(N)c1,0.325,13
202251796,CC1=N[C@@H](C)C(=O)Nc2ccccc21,0.341,24
4293774,Nc1cccc(-c2cc[nH]n2)c1,0.33,1
32696048,O=C(O)/C=C1/C(=O)Nc2ccccc21,0.449,24
901903,Oc1cc(O)c2c(O)cc(O)cc2c1,0.341,7
41203750,Nc1cccc(-c2cc[nH]c(=O)n2)c1,0.36200000000000004,1
343318,Nc1ncncc1-c1ccccc1,0.32299999999999995,15
30952670,Cc1n[nH]c2ccc(N)cc12,0.353,11
39257474,O=c1[nH]c2sccc2n2cccc12,0.327,14
524728990,Clc1ncn(-c2ccccn2)n1,0.311,10
157819,CC(=O)Nc1ccc(C(C)=O)c(O)c1,0.37,13
14982157,Nc1cc(C(=O)O)nc2ccccc12,0.312,9
6505274,c1nc(N2CCCC2)c2cc[nH]c2n1,0.306,3
110639,O=c1[nH]c2ccccc2n2cccc12,0.41100000000000003,14
1433164,N=C(N)NCc1cccc2ccccc12,0.35200000000000004,20
2543436,CC1(C)NC(=O)c2ccccc2N1,0.31,24
25491449,Oc1ncnc(O)c1-c1ccccc1,0.33,15
388180,NC(=O)Cc1cccc2ccccc12,0.365,20
22150708,NNCc1cccc2ccccc12,0.373,20
12904541,Cc1ccc(C(=O)N2CCC2)c(O)c1,0.395,13
685949967,NCc1cc(-c2cccc(N)c2)n[nH]1,0.309,1
11567918,Nc1cccc(-c2ccc(=O)[nH]n2)c1,0.337,1
3227012,O=C(O)/C=C1\C(=O)Nc2ccccc21,0.449,24
4692468,O=C1CC(=O)c2ccccc2N1,0.317,24
8764167,Nc1cccc(-c2cocn2)c1,0.33,1
151224,Cc1cc(N)n(-c2ccccn2)n1,0.435,10
65337624,Nc1cccc(-c2cccc(=O)[nH]2)c1,0.306,1
1775967001,Cc1cnn(-c2ncnc3[nH]ccc23)c1,0.312,3
72266803,Cn1cc(Nc2cccc(N)c2)cn1,0.301,21
82952215,Cn1cc(-c2cccc(N)c2)nn1,0.309,1
8584773,O=C(O)c1cc(O)c2ccccc2n1,0.312,9
5479718,O=C(O)c1n[nH]cc1-c1ccccc1,0.302,15
756957836,Cc1cc(C)n2ccc(C(=O)O)c2n1,0.3,5
100139155,Cc1cc(O)n(-c2ccccn2)n1,0.39399999999999996,10
89223806,c1nc(C2CC2)c2cc[nH]c2n1,0.307,3
331980,NNc1cc(-c2ccccc2)ncn1,0.309,15
1626610,O=C1CCC(=O)c2ccccc2N1,0.302,24
51943521,Cc1n[nH]c2ccc(C(=O)O)cc12,0.319,11
37975001,CCC(=O)Nc1cccc(CO)c1,0.302,13
2504951,O=C(O)/C=C/c1cc(O)cc(O)c1,0.405,7
76532,Cc1cc(C)c(C=O)[nH]1,0.304,24
40057,Nc1ncc(-c2ccccc2)c(N)n1,0.302,15
231957,O=C(O)c1c(O)cnc2ccccc12,0.326,9
4342661,Nc1cccc(-c2csnn2)c1,0.315,1
113247654,c1nc(-c2cn[nH]c2)c2cc[nH]c2n1,0.41,3
8703479,CCC(=O)Nc1ccc(N)c(C)c1,0.325,13
8780032,C1=C(c2c[nH]c3ncccc23)CCNC1,0.33299999999999996,18
36680,CCC(=O)Nc1cccc(C(N)=O)c1,0.326,13
400269,Nc1nccc(-c2ccccc2)n1,0.302,1
13819699,NCCOc1cncc(Cl)c1,0.32899999999999996,11
19090297,Cn1nc(-c2ccccn2)cc1N,0.303,10
98214194,Cc1cnn(-c2ccccn2)c1N,0.435,10
39136880,Cc1n[nH]c2ccc(C=O)cc12,0.326,11
72190459,O=Cc1ccnn1-c1ccccn1,0.342,10
3984067,CC1=NCC(=O)Nc2ccccc21,0.33299999999999996,24
8844854,CSC(=O)c1ccccn1,0.313,10
13671888,Nc1cccc(-c2cn[nH]n2)c1,0.315,1
7260694,CCC(=O)Nc1cccc(C(=O)O)c1,0.341,13
140040,CN(C)/C=C1/C(=O)Nc2ccccc21,0.48700000000000004,24
3883026,Nc1cc(C(=O)O)c2ccccc2n1,0.312,9
26512231,CCc1cc(N)n(-c2ccccn2)n1,0.41100000000000003,10
36155393,Cc1nc(-c2cccc(N)c2)c[nH]1,0.32299999999999995,1
104378762,C/C(O)=C1\C(=O)Nc2ccccc21,0.36200000000000004,24
225756585,OCc1cnncc1-c1ccccc1,0.32299999999999995,15
1585504,CN1CC[C@H](c2ccccc2)[C@H](O)C1,0.324,16
34111550,Nc1cccc(-c2ccnnc2)c1,0.302,1
3851832,Cc1cc(CO)nn1-c1ccccn1,0.373,10
82217412,Cc1n[nH]c2ccc(CN)cc12,0.37200000000000005,11
4429084,N=C1C(=O)Nc2ccccc21,0.373,24
5551292,CN1CC[C@@H](c2ccccc2)[C@H](O)C1,0.324,16
26505326,Cc1cc(N)nn1-c1ccccn1,0.435,10
20663860,O=c1[nH]c2ncccc2n2cccc12,0.327,14
16194331,COC1=COC(=O)c2ccccc2N1,0.322,24
20417478,Nc1cccc(-c2ccncn2)c1,0.389,1
34111546,Nc1cccc(-c2cccnn2)c1,0.374,1
87418605,Nc1c(Cl)cnn1-c1ccccn1,0.414,10
901509,C=C1C(=O)Nc2ccccc21,0.373,24
1857622595,CN(C)C=C1C(=O)Nc2ccccc21,0.48700000000000004,24
25491327,NNc1nccc(-c2ccccc2)n1,0.344,1
5542407,O=C1Cc2cn[nH]c2-c2ccccc2N1,0.312,24
36894292,Cc1nn(-c2ccccn2)cc1C=O,0.33799999999999997,10
1618648,Cc1nc(C(=O)O)c2ccccc2n1,0.312,9
8603297,Cc1[nH]c(=O)c2ccccc2c1O,0.302,22
38266339,O=c1cc(O)c(-c2ccccc2)c[nH]1,0.344,15
6583617,Nc1cnc2ccccc2c1C(=O)O,0.326,9
8466928,Nc1ncc(-c2ccccc2)c(=O)[nH]1,0.302,15
331256,NNc1ncncc1-c1ccccc1,0.35100000000000003,15
5798728,CC1=NN(c2ccccn2)C(=O)C1,0.33799999999999997,10
72219979,O=Cc1ccn(-c2ccccn2)n1,0.312,10
21506114,OC1CCC(Nc2ncccn2)CC1,0.373,18
20383896,NCc1cc(-c2ccccc2)ncn1,0.309,15
104378768,C/C(O)=C1/C(=O)Nc2ccccc21,0.36200000000000004,24
8684248,O=[N+]([O-])c1ccc(-c2cc[nH]n2)o1,0.37799999999999995,12
37625902,Cc1n[nH]c2ccc([N+](=O)[O-])cc12,0.319,11
58222,COC(=O)/C=C/c1ccc(O)c(O)c1,0.36700000000000005,7
58172,O=C(O)/C=C/c1ccc(O)c(O)c1,0.405,7
4675124,COc1cccc(CN(C)C)c1O,0.32,5
101934568,O=C1Nc2ccccc2/C1=C\O,0.486,24
4899126,CN(C)Cc1cccc([N+](=O)[O-])c1O,0.312,5
1593019,Oc1c(O)c(O)c2ccccc2c1O,0.31,22
896083,C=Cc1ccc(O)c(O)c1,0.34299999999999997,7
5668659,O=C1Nc2ccccc2C1=S,0.373,24
2540324,Cc1cc(F)cc(CN(C)C)c1O,0.307,5
49601777,COC/C=C/c1ccc(O)c(O)c1,0.377,7
4482687,O=C(O)/C=C\c1ccc(O)c(O)c1,0.405,7
223748583,Cc1ccc(CN)n1-c1ccccn1,0.3,10
13549916,COC(=O)/C=C\c1ccc(O)c(O)c1,0.36700000000000005,7
72187494,C#Cc1ccc2[nH]nc(C)c2c1,0.326,11
39133854,Cc1n[nH]c2ccc(C#N)cc12,0.326,11
5614,CC(=O)/C=C/c1ccc(O)c(O)c1,0.387,7
4579304,O=C1/C(=N/O)Nc2ccccc21,0.325,24
8715043,Cc1nn(-c2ccccn2)c(N)c1C#N,0.479,10
1395709,N#Cc1cccc(-c2ccnc(N)n2)c1,0.32,1
17111942,N#Cc1c(O)ncnc1-c1ccccc1,0.303,15
12341248,CN(C)/C=C1/Nc2ccccc2C1=O,0.349,24
12410537,CC(=O)/C=C1\C(=O)Nc2ccccc21,0.46799999999999997,24
14982557,N#Cc1cc(C(=O)O)c2ccccc2n1,0.303,9
31343462,CC(=O)/C=C1/C(=O)Nc2ccccc21,0.46799999999999997,24
66324820,N#CNc1nccc(-c2ccccc2)n1,0.317,1
62063,Cc1cc(C(=O)O)c2ccccc2n1,0.312,9
74279576,O=C(O)c1[nH]ccc1-c1ccccc1,0.302,15
119431,Nc1ccc(O)c2ccccc12,0.313,22
19470703,Nc1cccc(Nc2ccncc2)c1,0.33,1
238368218,COc1cc(N)c2ccccc2c1O,0.307,22
39647580,CC(C)=C1C(=O)Nc2ccccc21,0.38,24
5916324,CCC(=O)Nc1ccc(F)c(F)c1,0.325,13
513651,CCC(=O)Nc1cccc(F)c1,0.301,13
33026337,CNC(=O)Cc1cccc2ccccc12,0.35200000000000004,20
68592361,Cc1ccnc(-c2cccc(N)c2)n1,0.33299999999999996,1
4234690,Nc1cc(-c2cccc(Cl)c2)n[nH]1,0.309,1
5332418,Nc1cccc(-c2ccccn2)c1,0.389,1
343325,Cc1cnc2ccccc2c1C(=O)O,0.326,9
95428548,CCC(=O)Nc1ccc(O)c(C)c1,0.375,13
4692749,Cc1n[nH]cc1-c1ccccc1,0.311,15
483018,CCC(=O)Nc1cccc(C(C)=O)c1,0.326,13
67338872,NC(=O)CCc1cccc2ccccc12,0.35200000000000004,20
59668520,ONCc1cccc2ccccc12,0.359,20
194641,Cc1cc(C(=O)O)nc2ccccc12,0.312,9
116393803,CCc1nc(N)ncc1-c1ccccc1,0.303,15
4271684,Nc1cccc(-c2cccnc2)c1,0.316,1
3880909,Nc1cccc(-c2ccncc2)c1,0.316,1
493224,CCC(=O)Nc1ccc(C(C)=O)cc1,0.302,13
44713447,Cc1n[nH]c2ccc(F)cc12,0.337,11
19089100,Nc1cccc(-c2cscn2)c1,0.33,1
91351666,OCc1cncc(-c2ccsc2)c1,0.326,19
374853,CCC(=O)Nc1cccc(C)c1,0.301,13
195095,Cc1nn(-c2ccccn2)c2c1CCC2,0.354,10
1680841,OCc1cccc2ccccc12,0.374,20
967226,OCCc1cccc2ccccc12,0.359,20
165587,Oc1ccc(O)c2ccccc12,0.313,22
34440119,OCc1cocc1-c1ccccc1,0.309,15
4549313,CCC(=O)Nc1ccc(Cl)c(N)c1,0.325,13
2037633,NCCc1cccc2ccccc12,0.373,20
391809,O=C(O)Cc1cccc2ccccc12,0.35200000000000004,20
72194599,Cc1cc(Cl)nc(NC2CC2)n1,0.3,18
74938264,Nc1ccnc(-c2cccc(C=O)c2)c1,0.307,1
104479670,c1cncc(-c2ncnc3[nH]ccc23)c1,0.39399999999999996,3
238668267,Nc1nc(O)ccc1-c1ccccc1,0.302,15
331360,Cc1ncc(-c2ccccc2)c(N)n1,0.302,15
4257702,Nc1c2c(nc3ccccc13)CCC2,0.32299999999999995,9
2785586,Cc1cccc(-c2ccnc(N)n2)c1,0.33299999999999996,1
1673028,Nc1cccc2ccccc12,0.32,20
96326,Cc1nccc(-c2cccc(N)c2)n1,0.455,1
1442821,O=C(O)c1c[nH]cc1-c1ccccc1,0.302,15
1745892,NCc1cccc2ccccc12,0.38799999999999996,20
144362319,C=C1OC(=O)Nc2ccccc21,0.317,24
5196961,CC(=O)NCc1cccc2ccccc12,0.35200000000000004,20
1673578,Cc1cc(N)c2ccccc2c1O,0.318,22
5499071,CC1=COC(=O)c2ccccc2N1,0.349,24
71256360,O=C(O)c1c(F)cnc2ccccc12,0.326,9
17020307,O=C1Nc2ccccc2/C1=C\Cl,0.486,24
4566787,O=C1Nc2ccccc2/C1=C/Cl,0.486,24
1442783,N=C(N)Cc1cccc2ccccc12,0.365,20
44029926,CC(=O)c1cccn1-c1ccccn1,0.316,10
