zinc_id,new_smile,tanimoto_sim,cluster,BBBP
20248621,Cc1ccc(C(=O)N2CCNCC2)o1,0.381,13,Permeable
83351150,O=C(O)C1CN(c2ccccn2)C1,0.307,10,Non-Permeable
93069,CNc1ccccc1C(N)=O,0.319,21,Permeable
300824,Cc1cc(=O)n2cccc(O)c2n1,0.431,5,Non-Permeable
96919296,O=C(O)c1cncn1-c1ccccn1,0.316,10,Permeable
2566024,O=Cc1cc(O)cc(O)c1,0.34299999999999997,7,Non-Permeable
37245389,Nc1ccnn1-c1ccccn1,0.386,10,Permeable
4218870,O=C(c1ccncc1)N1CCNCC1,0.35600000000000004,13,Permeable
3913687,CN1CC(=O)Nc2ccccc2C1=O,0.31,24,Permeable
63772334,c1ccc(-n2ncc3c2CNC3)nc1,0.313,10,Permeable
20284265,O=C(c1ccsc1)N1CCNCC1,0.35700000000000004,13,Permeable
12390021,NC(=O)c1nc(-c2ccccn2)no1,0.304,10,Permeable
20282500,O=C(c1ccoc1)N1CCNCC1,0.35700000000000004,13,Permeable
155007,CCOC(=O)N1CCNCC1,0.312,13,Permeable
236148,O=C(c1ccco1)N1CCNCC1,0.35700000000000004,13,Permeable
19271102,CCCC(=O)N1CCNCC1,0.312,13,Permeable
4202318,C[C@@H]1NC(=O)c2ccccc2NC1=O,0.341,24,Permeable
6694775,O=C(O)c1nc2ccccc2c(=O)[nH]1,0.312,9,Permeable
91356152,O=C(O)c1ncn(-c2ccccn2)n1,0.33799999999999997,10,Permeable
4203223,CC1=N[C@H](N)C(=O)Nc2ccccc21,0.326,24,Permeable
102071979,CN[C@H]1C(=O)Nc2ccccc2C1=O,0.314,24,Permeable
20285741,Cc1oncc1C(=O)N1CCNCC1,0.381,13,Permeable
302410,O=C(c1cccs1)N1CCNCC1,0.35700000000000004,13,Permeable
2244281,C[C@H]1NC(=O)c2ccccc2NC1=O,0.341,24,Permeable
4203224,CC1=N[C@@H](N)C(=O)Nc2ccccc21,0.326,24,Permeable
2155406,O=C1CNC(=O)c2ccccc2N1,0.33299999999999996,24,Permeable
75843681,Nc1nccn1-c1ccccn1,0.32899999999999996,10,Non-Permeable
82405108,Nc1cn(-c2ccccn2)nn1,0.32899999999999996,10,Permeable
22219543,CC[C@@H](C)C(=O)N1CCNCC1,0.305,13,Permeable
89262602,Nc1nn(-c2ccccn2)nc1Cl,0.35600000000000004,10,Permeable
