lig_chembl_id,pro_chembl_id,pref_name,accession,pchembl_value,standard_type,assay_id,confidence_score,canonical_smiles,description
CHEMBL1929238,CHEMBL4121,"CaM kinase II beta",Q13554,5.57,IC50,793848,8,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,"Inhibition of CAMK2beta"
CHEMBL103667,CHEMBL4121,"CaM kinase II beta",Q13554,4.4,IC50,793848,8,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,"Inhibition of CAMK2beta"
CHEMBL1945559,CHEMBL4121,"CaM kinase II beta",Q13554,7.08,IC50,801239,8,Cn1c2c(c3ccc(Cl)c(Cl)c31)C(C#N)C1(CCNCC1)NC2=O,"Inhibition of CaMK2 using ATP as substrate"
CHEMBL1964290,CHEMBL4121,"CaM kinase II beta",Q13554,5.4,Ki,809235,8,Cc1cccc(-c2[nH]c(-c3ccnc(N)n3)cc2C(N)=O)c1C,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1987034,CHEMBL4121,"CaM kinase II beta",Q13554,5.6,Ki,809235,8,N#CCOc1ccc(Nc2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2Br)cc1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL2005886,CHEMBL4121,"CaM kinase II beta",Q13554,5.2,Ki,809235,8,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL481491,CHEMBL4121,"CaM kinase II beta",Q13554,5.2,Ki,809235,8,NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1C(F)(F)F,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1973142,CHEMBL4121,"CaM kinase II beta",Q13554,5.9,Ki,809235,8,CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1982924,CHEMBL4121,"CaM kinase II beta",Q13554,5.8,Ki,809235,8,COc1cccc(C(=O)Nc2cnc3[nH]cc(-c4ccccc4)c3c2)c1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
CHEMBL1966628,CHEMBL4121,"CaM kinase II beta",Q13554,7.1,Ki,809235,8,NC1CCC(Nc2nccc(-c3c[nH]c4ncccc34)n2)CC1,"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: CAMK2B"
